ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Text_ID,Sentence_Number,Language_ID,OTC_ID,LGR_Conformance,Abbreviations
hawr1243a-textA-11,be ʕemrû xwa hewrê gino řû we asmanî.,be	ʕemr(e)-û	xwa	hewr-ê	gin-o	řû=we	asman-î	,to	order.F-EZ.GEN	God.M	cloud-INDF	fall.PRS.IND-3SG:S	up=to	sky.M-SG.OBL	,"By the order of God, a cloud covered the sky.\footnote{Lit. a cloud fell on the sky.}",textA,11,hawr1243,hawr1243a,WORD_ALIGNED,"{""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""INDF"": ""indefinite"", ""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular"", ""OBL"": ""oblique""}"
hawr1243a-textA-12,tecrebeş bo. ʕemriş dewrû ṣewû wîs saɫane bo wîs saɫê sî saɫê pa dewrne.,tecrebe=ş	b-o	ʕemr=iş	dewr-û	ṣew=û	wîs	saɫ(e)-a=ne	b-o	wîs	saɫ(e)-ê	sî	saɫ(e)-ê	p=a	dewr=ne	,experience=3SG:NC	be.PRS.IND-3SG:S	age.M=3SG:PSR	around-EZ.GEN	hundred=and	twenty	year.F-PL.OBL=POST	be.PRS.IND-3SG:S	twenty	year.F-PL.DIR	thirty	year.F-PL.DIR	at=DEM.DIST	around=POST	,"He was experienced. He was around 120 years old, about 120 or 130.",textA,12,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""NC"": ""non-canonical subject"", ""PRS"": ""present"", ""IND"": ""indicative"", ""PSR"": ""possessor"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""PL"": ""plural"", ""OBL"": ""oblique"", ""POST"": ""postposition"", ""DIR"": ""direct"", ""DEM"": ""demonstrative"", ""DIST"": ""distal""}"
hawr1243a-textA-13,"maço, ``jenekê!''",m-aç-o	jen(î)-ekê	,IND-say.PRS-3SG:A	woman.F-DEF.F.SG	,"He said, ``Wife!''",textA,13,hawr1243,hawr1243a,WORD_ALIGNED,"{""IND"": ""indicative"", ""PRS"": ""present"", ""SG"": ""singular"", ""DEF"": ""definite""}"
hawr1243a-textA-14,"maço, ``beɫê!''",m-aç-o	beɫê	,IND-say.PRS-3SG:A	yes	,"She said, ``Yes!''",textA,14,hawr1243,hawr1243a,WORD_ALIGNED,"{""IND"": ""indicative"", ""PRS"": ""present"", ""SG"": ""singular""}"
hawr1243a-textA-15,"maço, ``êşew waro; tekbîrma mekiryo.''",m-aç-o	êşew	war-o	tekbîr=ma	{}	me-kiry(e)-o	,IND-say.PRS-3SG:A	tonight	rain.PRS.IND-3SG:S	solution.M=1PL:PSR	{}	NEG.IND-do.PRS.PASS-3SG:S	,"He said, ``It's going to rain tonight; we can't handle (it)\footnote{Lit. Our solution won't be done.}''",textA,15,hawr1243,hawr1243a,WORD_ALIGNED,"{""IND"": ""indicative"", ""PRS"": ""present"", ""SG"": ""singular"", ""PL"": ""plural"", ""PSR"": ""possessor"", ""NEG"": ""negative"", ""PASS"": ""passive""}"
hawr1243a-textA-16,"ewêç maço, ``waranû çêşî?''",ewê=ç	m-aç-o	waran-û	çêş-î	,3SG.F.DIR=ADD	IND-say.PRS-3SG:A	rain-EZ.GEN	what-M.SG.OBL	,"She said, ``What rain?!''",textA,16,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""DIR"": ""direct"", ""ADD"": ""additive"", ""IND"": ""indicative"", ""PRS"": ""present"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""OBL"": ""oblique""}"
hawr1243a-textA-17,"maço, ``be xwa waro. ana hewrê sîyaw pise çetrê kewt asman.''",m-aç-o	be	xwa	war-o	an(e)=a	hewr-ê	sîyaw	pise	çetr(e)-ê	kewt-∅	asman	,IND-say.PRS-3SG:A	to	God.M	rain.PRS.IND-3SG:S	DEM.DIST.M.3SG.DIR=EMPH	cloud.M-INDF	black.M	like	umbrella-F.SG.OBL	fall.PST-3SG.M:S	sky.M.DIR	,"He said, ``[I swear] to God, it will rain. There, a black cloud has covered the sky like an umbrella!''",textA,17,hawr1243,hawr1243a,WORD_ALIGNED,"{""IND"": ""indicative"", ""PRS"": ""present"", ""SG"": ""singular"", ""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""DIR"": ""direct"", ""EMPH"": ""emphatic"", ""INDF"": ""indefinite"", ""OBL"": ""oblique"", ""PST"": ""past""}"
hawr1243a-textA-18,şewê firê bijyawe.,şew(e)-ê	fir(e)-ê	bijy(e)-a=we	,night-F.SG.OBL	a_lot-INDF	toss.PRS-3PL:S=COMPL	,"During the night, they tossed and turned [trying to get comfortable].",textA,18,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""OBL"": ""oblique"", ""INDF"": ""indefinite"", ""PRS"": ""present"", ""PL"": ""plural"", ""COMPL"": ""completive""}"
hawr1243a-textA-19,ca a wextî çawre bo. çawrekêne fire ginawe kem.,ca	a	wext-î	çawre	b-o	çawre-(e)kê=ne	fire	gin-a=we	kem	,afterwards	DEM.DIST	time.M-SG.OBL	tent.F	be.PRS.IND-3SG:S	tent.F-DEF.F.SG=POST	a_lot	fall.PRS.IND-3PL:S=COMPL	little	,"Back then, there were tents. They tossed and turned [in bed] in the tent for a while.",textA,19,hawr1243,hawr1243a,WORD_ALIGNED,"{""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""SG"": ""singular"", ""OBL"": ""oblique"", ""PRS"": ""present"", ""IND"": ""indicative"", ""DEF"": ""definite"", ""POST"": ""postposition"", ""PL"": ""plural"", ""COMPL"": ""completive""}"
hawr1243a-textA-20,"wextê weyowe, lawaw aman çawre peře bîye awî.",wext-ê	wey(e)-o=we	lawaw	ama=n	çawre	peř-e	bî-e	awî	,time.M-INDF	wake.PRS.IND-3SG:S=COMPL	flood.M	come.PST.PTCP.M=COP.3SG.M:S	tent.F	full-F	be.PST-3SG.F:S	water.F	,"When they finally woke up, the flood had come [and] the tent was filled with water.",textA,20,hawr1243,hawr1243a,WORD_ALIGNED,"{""INDF"": ""indefinite"", ""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular"", ""COMPL"": ""completive"", ""PST"": ""past"", ""PTCP"": ""participle"", ""COP"": ""copula""}"
hawr1243a-textA-21,heywane awê berde.,heywane	aw(î)-ê	berd-e	,animal.F.SG.DIR	water.F-SG.OBL	take.PST-3SG.F:O	,The flood\footnote{Lit. water} took away the animals.,textA,21,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""DIR"": ""direct"", ""OBL"": ""oblique"", ""PST"": ""past""}"
hawr1243a-textA-22,epare beʕzêş piřnaşre berd wisiş řoxane.,e=pare	beʕzê=ş	piřna=ş=re	berd-∅	wis-∅=iş	řoxane\textsc{.m}	,in=down_there	some=3SG:PSR	break_off.PST=3SG:A=POVB	take.PST-3SG.M:O	throw.PST-3SG.M:O=3SG:A	river	,"Down there, [the flood] took some [animals and] cast [them] into the river.",textA,22,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""PSR"": ""possessor"", ""PST"": ""past"", ""POVB"": ""post-verb""}"
hawr1243a-textA-23,beʕzêçiş meno milwa xizana meřekê.,beʕzê=ç=iş	men-o	mi-lw-a	xiz-anê	meře-(e)kê	,some=ADD=3SG:PSR	remain.PRS.IND-3SG:S	IND-go.PRS-3PL:S	creep.PRS.IND-3PL:S	cave.F-DEF.F.SG	,Some of [the animals] which had survived went [and] squeezed themselves into the cave.,textA,23,hawr1243,hawr1243a,WORD_ALIGNED,"{""ADD"": ""additive"", ""SG"": ""singular"", ""PSR"": ""possessor"", ""PRS"": ""present"", ""IND"": ""indicative"", ""PL"": ""plural"", ""DEF"": ""definite""}"
hawr1243a-textA-24,"şewê be ʕemrew xway jenêç nîşore duwê zaroɫê wîno, her a şewê.",şew(e)-ê	be	ʕemre-û	xwa-î	jen(î)-ê=ç	nîş-o=re	duwê	zaroɫ(e)-ê	wîn-o	her	a	şew(e)-ê	,night-F.SG.OBL	by	order.F-EZ.GEN	God.M-SG.OBL	woman-F.SG.OBL=ADD	sit.PRS.IND-3SG:S=POVB	two	child-PL.DIR	see.PRS.IND-3SG:A	EMPH	DEM.DIST	night-F.SG.OBL	,"During that very night, by the order of God, the wife gave birth to two babies.\footnote{Lit. She sat down [and] saw two babies.}",textA,24,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""OBL"": ""oblique"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""ADD"": ""additive"", ""PRS"": ""present"", ""IND"": ""indicative"", ""POVB"": ""post-verb"", ""PL"": ""plural"", ""DIR"": ""direct"", ""EMPH"": ""emphatic"", ""DEM"": ""demonstrative"", ""DIST"": ""distal""}"
hawr1243a-textA-25,wizoşare dilû awê.,wiz-o=şa=re	dil-û	aw(î)-ê	,throw.PRS.IND-3SG:A=3PL:O=POVB	inside-EZ.GEN	water.F-SG.OBL	,She delivered them in the water [which had flooded in the tent].,textA,25,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular"", ""PL"": ""plural"", ""POVB"": ""post-verb"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""OBL"": ""oblique""}"
hawr1243a-textA-26,ça menawe ta seʕbe řoj bowe berzepey miđrarê.,ça	men-a=we	ta	seʕbe	řoj	b-o=we	berzepey	miđr-a=rê	,there	remain.PRS.IND-3PL:S=COMPL	until	morning.F	daylight.M	become.PRS.IND-3SG:S=COMPL	standing	stop.PRS-3PL:S=POVB	,They remained there [in the tent] standing up\footnote{Lit. stopped standing by} until the next day.\footnote{Lit. Until early morning became daylight.},textA,26,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""PL"": ""plural"", ""COMPL"": ""completive"", ""SG"": ""singular"", ""POVB"": ""post-verb""}"
hawr1243a-textA-27,seʕbê mila wextî miđya penc bizê menênêw.,seʕb(e)-ê	mi-l-a	wext-î	mi-đy(e)-a	penc	biz(e)-ê	menê=nê=û	,morning-F.SG.OBL	IND-go.PRS-3PL:S	time.M-SG.OBL	IND-look.PRS-3PL:S	five	goat.F-PL.DIR	remain.PST.PTCP.PL=COP.3PL:S=and	,"The next day, when they looked around, they saw that five goats had survived [the flood].",textA,27,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""OBL"": ""oblique"", ""IND"": ""indicative"", ""PRS"": ""present"", ""PL"": ""plural"", ""DIR"": ""direct"", ""PST"": ""past"", ""PTCP"": ""participle"", ""COP"": ""copula""}"
hawr1243a-textA-28,awî luwεnêrew serû ane hardîşa bîyênêw.,awî	luwε=nê=re=û	ser-û	ane	hardî=şa	bîyê=nê=û	,water.F	go.PST.PTCP.PL=COP.3PL:S=POVB=and	on-EZ.GEN	DEM.DIST.M.3SG.DIR	flour.F.PL.DIR=3PL:NC	be.PTCP.PL=COP.3PL:S=and	,The water had risen to the level of the flour [sacks] that they had.,textA,28,hawr1243,hawr1243a,WORD_ALIGNED,"{""PST"": ""past"", ""PTCP"": ""participle"", ""PL"": ""plural"", ""COP"": ""copula"", ""POVB"": ""post-verb"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""SG"": ""singular"", ""DIR"": ""direct"", ""NC"": ""non-canonical subject""}"
hawr1243a-textA-29,"kuçê qenû çayû a wextîyekey, ne nan hen, ne çay hen, ne çîw hen, ħîç.",kuç-ê	qen=û	çay=û	a	wext-î-ekey	ne	nan	hen-∅	ne	çay	hen-∅	ne	çîw	hen-∅	ħîç	,little-INDF	sugar_cube=and	tea.M=and	DEM.DIST	time.M-SG.OBL-DEF.M.SG.OBL	neither	bread.M	EXIST-3SG.M:S	nor	tea.M	EXIST-3SG.M:S	nor	thing.M	EXIST-3SG.M:S	nothing	,"[There was] some sugar and tea, well then, there was neither bread, nor water, nor anything else, [there was] nothing [left].",textA,29,hawr1243,hawr1243a,WORD_ALIGNED,"{""INDF"": ""indefinite"", ""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""SG"": ""singular"", ""OBL"": ""oblique"", ""DEF"": ""definite"", ""EXIST"": ""existential particle""}"
hawr1243a-textA-30,awê berdenû luwan.,aw(î)-ê	berde=n=û	luwa=n	,water.F-SG.OBL	take.PST.PTCP.M=COP.3SG.M:O=and	go.PST.PTCP.M=COP.3SG.M:S	,"The water had taken [everything] away, [and] it was gone.",textA,30,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""OBL"": ""oblique"", ""PST"": ""past"", ""PTCP"": ""participle"", ""COP"": ""copula""}"
hawr1243a-textA-31,ħeywanê miđa wer. girđ wizaş weɫê.,ħeywan-ê	mi-đ(e)-a	wer	girđ	wiz-a=ş	weɫê	,animal.M-PL.DIR	IND-give.PRS-3PL:A	out	all	throw.PRS.IND-3PL:A=3SG:O	front	,They herded the animals out. They drove all [of them] forth.,textA,31,hawr1243,hawr1243a,WORD_ALIGNED,"{""PL"": ""plural"", ""DIR"": ""direct"", ""IND"": ""indicative"", ""PRS"": ""present"", ""SG"": ""singular""}"
hawr1243a-textA-32,a wextîyekey zaroɫê duwê bawşîşane.,a	wext-î-ekey	zaroɫ(e)-ê	duwê	bawşî=şa=ne	,DEM.DIST	time.M-SG.OBL-DEF.M.SG.OBL	child-PL.DIR	two	embrace.F=3PL:PSR=POST	,And they held the babies in their arms.,textA,32,hawr1243,hawr1243a,WORD_ALIGNED,"{""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""SG"": ""singular"", ""OBL"": ""oblique"", ""DEF"": ""definite"", ""PL"": ""plural"", ""DIR"": ""direct"", ""PSR"": ""possessor"", ""POST"": ""postposition""}"
hawr1243a-textA-33,"yejenekê biřê pîyake maço, ``melama pey.''",yejen(î)-ekê	biřê	pîya-(e)ke	m-aç-o	me-l-a=ma	pey	,woman.F-DEF.F.SG	a_while	man.M-DEF.M.SG.DIR	IND-say.PRS-3SG:A	NEG.IND-go.PRS-3PL:S=1PL:R	for	,"The woman (or) the man said several times, ``It's not possible for us [to take the babies]. \footnote{Lit. they don't go for us.}''",textA,33,hawr1243,hawr1243a,WORD_ALIGNED,"{""DEF"": ""definite"", ""SG"": ""singular"", ""DIR"": ""direct"", ""IND"": ""indicative"", ""PRS"": ""present"", ""NEG"": ""negative"", ""PL"": ""plural""}"
hawr1243a-textA-34,tate xway îrayeşa.,tate	xwa-î	îraye=ş=a	,father.M	God.M-SG.OBL	volition=3SG:NC=COP.3SG.M:S	,"`Man, this is God's will.'",textA,34,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""OBL"": ""oblique"", ""NC"": ""non-canonical subject"", ""COP"": ""copula""}"
hawr1243a-textA-35,mekiryoyç î kuřî xinîkno.,me-kiry(e)-o=îç	î	kuř-î	xinî́kn-o	,NEG.IND-do.PRS.PASS-3SG:S=ADD	DEM.PROX	boy.M-SG.OBL	drown.PRS.SBJV-3SG:A	,He should not drown the [baby] boys.'\footnote{Lit. It can't be done that he drowns the baby boys.,textA,35,hawr1243,hawr1243a,WORD_ALIGNED,"{""NEG"": ""negative"", ""IND"": ""indicative"", ""PRS"": ""present"", ""PASS"": ""passive"", ""SG"": ""singular"", ""ADD"": ""additive"", ""DEM"": ""demonstrative"", ""PROX"": ""proximate"", ""OBL"": ""oblique"", ""SBJV"": ""subjunctive""}"
hawr1243a-textA-36,"bero mizyoş qiřoɫû derê, hînêwe meřû darê.",ber-o	mi-zy(e)-o=ş	qiřoɫ-û	der(e)-ê	hîn-êwe	meř(e)-û	dar-ê	,take.PRS.IND-3SG:A	IND-leave.PRS-3SG:A=3SG:O	hollow.M-EZ.GEN	valley.M-INDF	FILL-INDF	cave.F-EZ.GEN	tree.M-INDF	,"He took him (i.e., one of the baby boys), [and] put him in a hole in a valley, a thingummy, in the hollow of a tree.",textA,36,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""SG"": ""singular"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""INDF"": ""indefinite"", ""FILL"": ""filler""}"
hawr1243a-textA-37,"îne min înem jinîyen law, fermawiştû şêxîn, şê ʕeladînîwe.",îne	min	îne=m	jinîye=n	la-û	fermawişt-û	şêx-î=n	şê	ʕeladîn-î=we	,DEM.PROX.M.3SG.DIR	1SG	DEM.PROX.M.3SG.DIR=1SG:A	hear.PST.PTCP.M=COP.3SG.M:O	at_the_place_of-EZ.GEN	speech.M-EZ.GEN	sheikh.M-SG.OBL=COP.3SG.M:S	sheikh	PN-M.SG.OBL=POST	,I have heard this tale from -- it is the Sheikh's words -- Sheikh Aladin.,textA,37,hawr1243,hawr1243a,WORD_ALIGNED,"{""DEM"": ""demonstrative"", ""PROX"": ""proximate"", ""SG"": ""singular"", ""DIR"": ""direct"", ""PST"": ""past"", ""PTCP"": ""participle"", ""COP"": ""copula"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""OBL"": ""oblique"", ""PN"": ""proper noun"", ""POST"": ""postposition""}"
hawr1243a-textA-38,a wextîyekey minyoş qiřoɫû beřû darêwew.,a	wext-î-ekey	mi-ny(e)-o=ş	qiřoɫ-û	beřû	dar-êwe=û	,DEM.DIST	time.M-SG.OBL-DEF.M.SG.OBL	IND-put.PRS-3SG:A=3SG:O	hollow.M-EZ.GEN	oak.M	tree.M-INDF=and	,"Anyhow, he put him into the hollow of an oak tree.",textA,38,hawr1243,hawr1243a,WORD_ALIGNED,"{""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""SG"": ""singular"", ""OBL"": ""oblique"", ""DEF"": ""definite"", ""IND"": ""indicative"", ""PRS"": ""present"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""INDF"": ""indefinite""}"
hawr1243a-textA-39,kûç kera milawe pey germîyanî.,kûç	ker-a	mi-l-a=we	pey	germîyan-î	,migration.M	do.PRS.IND-3PL:A	IND-go.PRS-3PL:S=COMPL	for	PN-M.SG.OBL	,"They (i.e., the family) migrated [and] went to Garmiyan.",textA,39,hawr1243,hawr1243a,WORD_ALIGNED,"{""PRS"": ""present"", ""IND"": ""indicative"", ""PL"": ""plural"", ""COMPL"": ""completive"", ""PN"": ""proper noun"", ""SG"": ""singular"", ""OBL"": ""oblique""}"
hawr1243a-textA-40,mila ew kuřekey yoyşa bera. aneşa zilterû ʕalter bo ađî bera.,mi-l-a	ew	kuř-ekey	yo-î=şa	ber-a	ane=şa	zil-ter=û	ʕal-ter	b-o	ađî	ber-a	,IND-go.PRS-3PL:S	DEM.DIST	son.M-DEF.M.SG.OBL	one.M-SG.OBL=3PL:PSR	take.PRS.IND-3PL:A	DEM.DIST.M.3SG.DIR=3PL:PSR	big-CMPR=and	good-CMPR	be.PRS.IND-3SG:S	3SG.OBL.M	take.PRS.IND-3PL:A	,"They went away [and took] that son. They took one of them (i.e., of the boys), the one who was bigger and healthier; they took him.",textA,40,hawr1243,hawr1243a,WORD_ALIGNED,"{""IND"": ""indicative"", ""PRS"": ""present"", ""PL"": ""plural"", ""DEM"": ""demonstrative"", ""DIST"": ""distal"", ""DEF"": ""definite"", ""SG"": ""singular"", ""OBL"": ""oblique"", ""PSR"": ""possessor"", ""DIR"": ""direct"", ""CMPR"": ""comparative""}"
hawr1243a-textA-41,ewî minya qiřoɫû darêwe.,ewî	mi-ny(e)-a	qiřoɫ-û	dar-êwe	,3SG.OBL.M	IND-put.PRS-3PL:A	hollow.M-EZ.GEN	tree.M-INDF	,"They left him (i.e., the other one) in the hole in the tree.",textA,41,hawr1243,hawr1243a,WORD_ALIGNED,"{""SG"": ""singular"", ""OBL"": ""oblique"", ""IND"": ""indicative"", ""PRS"": ""present"", ""PL"": ""plural"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""INDF"": ""indefinite""}"
hawr1243a-textA-42,çî mede xwawinû ʕalemîyanî pase îrayeşa bizêw menêne cîyay sayqekewe.,ç=î	mede	xwawin-û	ʕalemîyan-î	pase	îraye=ş=a	biz(e)-êw	menê=ne	cîyay	sayqe-(e)ke=we	,at=DEM.PROX	time	owner-EZ.GEN	worlds.M-SG.OBL	like	volition=3SG:NC=COP.3SG.M:S	goat.F-INDF	remain.PST.PTCP.F=COP.3SG.F:S	behind	lightning.M-DEF.M.SG.DIR=POST	,The will of the lord of all worlds was such that a goat was [accidentally] left behind [alive] from the storm [that caused the flood].,textA,42,hawr1243,hawr1243a,WORD_ALIGNED,"{""DEM"": ""demonstrative"", ""PROX"": ""proximate"", ""EZ"": ""ezafe"", ""GEN"": ""genitive"", ""SG"": ""singular"", ""OBL"": ""oblique"", ""NC"": ""non-canonical subject"", ""COP"": ""copula"", ""INDF"": ""indefinite"", ""PST"": ""past"", ""PTCP"": ""participle"", ""DEF"": ""definite"", ""DIR"": ""direct"", ""POST"": ""postposition""}"
